weed,open,rock,weed,open,rock,weed,weed,open,open,open,rock,weed,weed,open,open,weed,open,weed,weed,weed,open,rock,rock,weed,open,open,open,open,weed,weed,rock
open,open,open,open,open,open,open,weed,open,weed,weed,open,weed,weed,open,open,weed,open,open,open,weed,weed,weed,weed,open,weed,open,open,weed,open,weed,weed
weed,weed,weed,open,open,open,open,open,rock,open,open,open,open,weed,weed,weed,weed,open,weed,open,open,open,weed,open,open,open,open,weed,open,open,open,weed
open,open,open,rock,rock,weed,open,rock,weed,weed,open,open,open,rock,open,open,open,weed,open,rock,weed,weed,open,weed,weed,weed,open,open,open,open,open,open
open,weed,open,rock,weed,open,weed,open,rock,open,weed,open,open,open,rock,weed,open,open,open,open,open,open,weed,rock,open,weed,open,weed,open,weed,weed,weed
open,rock,open,open,weed,open,weed,weed,open,rock,open,open,open,rock,open,open,open,rock,rock,weed,rock,rock,open,open,weed,weed,open,open,weed,open,rock,open
open,weed,open,open,weed,rock,open,open,weed,rock,open,open,open,open,open,weed,open,open,weed,weed,open,weed,weed,weed,open,open,rock,open,open,open,weed,rock
open,rock,open,weed,weed,open,open,open,rock,weed,rock,weed,open,weed,open,open,weed,weed,open,open,weed,rock,weed,open,open,open,weed,rock,open,open,open,weed
weed,open,open,weed,open,weed,open,open,rock,open,open,open,open,open,open,open,open,weed,weed,open,open,open,rock,rock,open,open,open,open,weed,open,open,open
open,open,weed,open,rock,open,weed,rock,rock,weed,weed,weed,weed,open,open,open,rock,open,open,weed,open,open,open,open,open,open,open,open,open,weed,open,rock
rock,open,open,open,weed,weed,weed,open,weed,open,weed,open,weed,rock,open,weed,open,weed,open,rock,open,rock,weed,weed,weed,weed,rock,open,weed,open,weed,open
weed,weed,open,open,weed,weed,open,weed,rock,open,open,open,weed,open,weed,weed,open,rock,weed,open,open,open,open,open,rock,open,open,weed,weed,rock,weed,open
open,rock,weed,rock,open,rock,weed,open,weed,weed,open,open,weed,open,open,open,open,rock,weed,open,rock,rock,open,weed,open,rock,weed,weed,open,rock,open,open
open,weed,open,rock,weed,open,open,open,weed,weed,open,weed,open,weed,rock,weed,weed,weed,open,open,open,open,weed,weed,rock,open,weed,open,open,weed,rock,weed
open,weed,open,rock,weed,open,open,open,rock,open,weed,weed,weed,open,rock,open,weed,weed,weed,rock,open,open,open,open,open,open,open,open,open,weed,weed,open
open,open,weed,open,open,open,open,open,weed,weed,weed,weed,weed,open,weed,open,open,weed,open,open,weed,rock,rock,open,open,weed,open,weed,open,open,open,weed
open,open,open,open,open,weed,open,weed,rock,open,open,weed,open,open,rock,rock,weed,open,weed,weed,open,weed,open,open,open,open,open,weed,rock,weed,weed,rock
open,open,open,open,weed,open,open,open,open,rock,open,open,open,open,weed,open,open,open,weed,weed,weed,weed,weed,open,open,open,open,weed,open,weed,rock,open
rock,weed,rock,open,open,open,open,open,rock,weed,open,open,open,open,rock,open,open,weed,open,open,weed,weed,rock,weed,open,weed,rock,weed,rock,weed,rock,open
weed,open,weed,weed,rock,rock,open,weed,weed,open,open,open,weed,open,rock,open,rock,open,weed,open,weed,weed,rock,weed,open,open,open,open,weed,weed,weed,rock
weed,weed,open,open,weed,rock,open,open,weed,open,open,rock,weed,open,rock,open,rock,open,weed,open,open,rock,open,open,open,weed,weed,rock,open,open,open,weed
rock,weed,weed,open,rock,open,open,open,open,open,open,open,weed,open,open,rock,weed,open,open,rock,open,open,rock,open,weed,weed,weed,open,open,open,open,rock
open,weed,weed,weed,open,open,rock,weed,weed,rock,weed,open,weed,open,weed,rock,open,open,open,rock,open,open,open,open,open,open,open,open,open,open,open,weed
open,open,open,open,open,open,rock,open,open,open,open,open,weed,weed,open,open,open,open,weed,open,open,rock,open,open,weed,open,open,open,rock,open,open,open
open,weed,open,weed,weed,weed,open,rock,weed,open,weed,rock,open,rock,open,weed,rock,open,weed,open,weed,weed,open,open,open,open,open,open,open,open,weed,weed
weed,open,rock,weed,open,open,weed,open,open,rock,open,open,rock,weed,open,rock,rock,open,weed,open,open,weed,open,weed,weed,open,weed,open,rock,open,weed,weed
open,weed,weed,weed,weed,rock,open,open,open,weed,open,open,open,rock,open,weed,open,rock,open,open,rock,rock,open,open,weed,rock,open,open,weed,weed,weed,weed
open,rock,rock,weed,open,open,weed,open,rock,open,weed,rock,open,open,weed,weed,open,weed,rock,open,open,open,open,open,open,weed,open,rock,open,open,weed,rock
open,open,open,open,open,open,open,open,rock,weed,open,open,open,open,weed,rock,rock,rock,rock,rock,open,open,open,weed,open,weed,weed,open,open,open,open,rock
weed,weed,open,open,open,weed,weed,open,rock,open,rock,open,open,weed,open,open,open,open,weed,rock,rock,open,open,open,open,open,rock,rock,weed,open,open,open
open,open,open,open,rock,open,rock,open,weed,open,open,open,open,rock,open,weed,open,open,open,open,rock,weed,weed,open,open,rock,open,open,open,weed,weed,weed
weed,open,rock,open,weed,open,rock,open,open,open,open,open,weed,open,rock,open,weed,open,weed,weed,open,rock,open,open,weed,weed,open,open,rock,weed,rock,open
